analysis_type,group_a,group_b,statistic,p_value,is_significant
kruskal_weekday,ALL,,18.83837126841445,0.0044454877785256525,1
posthoc_weekday,土,日,3408.0,0.002052719278472578,1
posthoc_weekday,土,月,2607.0,0.9353892222415567,0
posthoc_weekday,土,木,2707.0,0.8694292034496275,0
posthoc_weekday,土,水,2821.0,0.5414859342660345,0
posthoc_weekday,土,火,2475.0,0.5464726203842498,0
posthoc_weekday,土,金,2901.0,0.35565343728682064,0
posthoc_weekday,日,月,1848.0,0.002971463400840542,1
posthoc_weekday,日,木,1807.0,0.0011760356076886747,1
posthoc_weekday,日,水,1895.0,0.0037718533484112104,1
posthoc_weekday,日,火,1670.0,0.00023152165459251712,1
posthoc_weekday,日,金,2051.0,0.02262295483415518,1
posthoc_weekday,月,木,2666.0,0.882112311906376,0
posthoc_weekday,月,水,2752.0,0.6252842064612991,0
posthoc_weekday,月,火,2437.0,0.5370309312025711,0
posthoc_weekday,月,金,2890.0,0.30109423357446397,0
posthoc_weekday,木,水,2772.0,0.6753720310457709,0
posthoc_weekday,木,火,2418.0,0.4074111193013369,0
posthoc_weekday,木,金,2937.0,0.2870663710303649,0
posthoc_weekday,水,火,2323.0,0.22853886785008692,0
posthoc_weekday,水,金,2853.0,0.4618450363244444,0
posthoc_weekday,火,金,3039.0,0.10452457904560912,0
kruskal_last_digit,ALL,,29.074503601304997,0.0006295528655981867,1
posthoc_last_digit,0,1,10956369293.5,0.00010666330318504627,1
posthoc_last_digit,0,2,10909912030.0,0.002164488664056558,1
posthoc_last_digit,0,3,10822879069.5,0.0001735473253308109,1
posthoc_last_digit,0,4,9492376527.0,0.003616361323077741,1
posthoc_last_digit,0,5,10816460220.5,0.04559226638578732,1
posthoc_last_digit,0,6,10655722002.0,0.0011068317250740943,1
posthoc_last_digit,0,7,10707880216.5,0.0026494024343336436,1
posthoc_last_digit,0,8,10632021529.0,3.6605712034629776e-06,1
posthoc_last_digit,0,9,9403295996.5,0.038312649805994414,1
posthoc_last_digit,1,2,11180257399.5,0.3973370948577307,0
posthoc_last_digit,1,3,11090851147.5,0.893278992266656,0
posthoc_last_digit,1,4,9726046783.0,0.4278222061236925,0
posthoc_last_digit,1,5,11083875172.5,0.05873798437304727,0
posthoc_last_digit,1,6,10919238960.5,0.5464426956756174,0
posthoc_last_digit,1,7,10972564041.0,0.3890401345284298,0
posthoc_last_digit,1,8,10895390571.0,0.4460095749303583,0
posthoc_last_digit,1,9,9634441385.5,0.10646381686601869,0
posthoc_last_digit,2,3,11004882968.0,0.46947193795848885,0
posthoc_last_digit,2,4,9651866411.0,0.9844948217282322,0
posthoc_last_digit,2,5,10998768521.5,0.28800901001257073,0
posthoc_last_digit,2,6,10835004347.0,0.8143090537597046,0
posthoc_last_digit,2,7,10887974033.0,0.9808117521499083,0
posthoc_last_digit,2,8,10810901085.5,0.1063559067257679,0
posthoc_last_digit,2,9,9561308057.0,0.3913254331850866,0
posthoc_last_digit,3,4,9602683419.5,0.5057933236544983,0
posthoc_last_digit,3,5,10943569927.0,0.07728540517709727,0
posthoc_last_digit,3,6,10781061371.0,0.6268330836533584,0
posthoc_last_digit,3,7,10833551002.5,0.4614368332138674,0
posthoc_last_digit,3,8,10757325947.0,0.37739975096920064,0
posthoc_last_digit,3,9,9512545922.0,0.1338169974682704,0
posthoc_last_digit,4,5,9568079955.5,0.3184062569133528,0
posthoc_last_digit,4,6,9426028221.0,0.814907211400958,0
posthoc_last_digit,4,7,9472103538.5,0.9876772860092492,0
posthoc_last_digit,4,8,9405359114.5,0.12083918847972687,0
posthoc_last_digit,4,9,8317251928.5,0.43293968667389493,0
posthoc_last_digit,5,6,10694009696.5,0.20118120351816082,0
posthoc_last_digit,5,7,10746269469.0,0.3065058016479769,0
posthoc_last_digit,5,8,10670226998.5,0.008020260636672584,1
posthoc_last_digit,5,9,9436805700.5,0.871861609189988,0
posthoc_last_digit,6,7,10644434192.0,0.7980140864104948,0
posthoc_last_digit,6,8,10569379727.5,0.17333706360933043,0
posthoc_last_digit,6,9,9347097887.0,0.28888921344840457,0
posthoc_last_digit,7,8,10609403209.5,0.1057052779112549,0
posthoc_last_digit,7,9,9382417523.0,0.4178087311849321,0
posthoc_last_digit,8,9,9380858809.0,0.01763450758686052,1
