lag,n_samples,positive_rate,mi_score,spearman_abs,auc_raw_best_sign,cv_auc_logreg
4,5040,0.19007936507936507,0.0,0.006614248004878918,0.504866315685033,0.5055614725467944
2,5060,0.19011857707509883,0.0,0.007392515133622041,0.5054384827444857,0.5051397359242564
12,4960,0.1901209677419355,0.0,0.007419054906275171,0.5054579806765045,0.5033836970147216
8,5000,0.1902,0.0,0.0040549764840321755,0.5029826528288196,0.5032524612382427
6,5020,0.1900398406374502,0.0,0.003447664455989868,0.5025367598152497,0.5020700386570296
14,4940,0.19008097165991902,0.0,0.0012608118283979448,0.500927616871075,0.5016206448540894
27,4810,0.18981288981288982,0.0,0.004054809079554034,0.5029848556518748,0.500717404178484
10,4980,0.19016064257028112,0.0,0.0031589402905740534,0.5023237540554417,0.5006421431549617
9,4990,0.1901803607214429,0.0,0.0031302146638888697,0.5023025318201814,0.500302005709718
11,4970,0.19014084507042253,0.0,0.002884096593051371,0.5021216602583062,0.4998534622366189
15,4930,0.1900608519269777,0.0,0.004460910535301933,0.503282157863775,0.4996517729440614
21,4870,0.18993839835728954,0.0,0.00025320782336566767,0.5001863460418593,0.4981541086723265
7,5010,0.19021956087824352,0.0,0.00047823759807978455,0.5003517555836673,0.4981448096384426
1,5070,0.19013806706114397,0.0,0.0008654381979125164,0.5006366555976175,0.49810822279965394
3,5050,0.1900990099009901,0.0,0.0014193407853390618,0.5010442135289324,0.49733660439095245
5,5030,0.1900596421471173,0.0,0.0018704617324683905,0.5013762136869586,0.4968538906168334
28,4800,0.18979166666666666,0.0,7.860063038248884e-05,0.5000578625462513,0.49397849590101767
13,4950,0.1901010101010101,0.0,0.00236361811531548,0.5017389142230194,0.4916800015596626
