weekday,last_digit,mean_diff,median_diff,n_rows,n_days
月,0,12.901855287569573,-200.0,5390,72
月,1,61.992133023422134,-190.0,5593,72
月,2,22.325346784363177,-200.0,5551,72
月,3,50.00858849887976,-200.0,5356,72
月,4,56.160313426514186,-192.5,4722,72
月,5,28.45214521452145,-200.0,5454,72
月,6,8.448510943667026,-200.0,5574,72
月,7,41.02067503092419,-200.0,5659,72
月,8,36.02546045503792,-199.0,5538,72
月,9,33.707416462917685,-200.0,4908,72
火,0,38.21399406087602,-200.0,5388,72
火,1,51.960128732344,-194.0,5593,72
火,2,31.938378378378378,-199.0,5550,72
火,3,56.1781512605042,-196.0,5355,72
火,4,53.907630522088354,-197.0,4731,72
火,5,77.62846139739592,-156.0,5453,72
火,6,47.20944005743001,-193.0,5572,72
火,7,47.015555948382534,-194.0,5657,72
火,8,102.30949801372337,-185.0,5538,72
火,9,39.8074028879398,-200.0,4917,72
水,0,54.84751967783269,-194.0,5463,73
水,1,76.98800493914271,-168.0,5669,73
水,2,54.96427301813011,-193.0,5626,73
水,3,53.94564215957251,-190.0,5427,73
水,4,66.83806936899289,-190.0,4786,73
水,5,61.03818313427434,-187.5,5526,73
水,6,24.969380530973453,-200.0,5650,73
水,7,54.65167364016737,-200.0,5736,73
水,8,30.563568376068375,-200.0,5616,73
水,9,21.630172760144635,-200.0,4978,73
木,0,40.16853725850966,-200.0,5435,73
木,1,51.29131205673759,-200.0,5640,73
木,2,34.02840300107181,-200.0,5598,73
木,3,38.250694315867435,-200.0,5401,73
木,4,66.61567556209287,-194.0,4759,73
木,5,31.83284830847581,-200.0,5498,73
木,6,25.319572953736653,-200.0,5620,73
木,7,38.75534525061339,-200.0,5706,73
木,8,50.21052631578947,-200.0,5586,73
木,9,59.40735502121641,-190.0,4949,73
金,0,17.982090643274855,-200.0,5472,73
金,1,34.56207078711041,-194.0,5679,73
金,2,15.815406460773874,-200.0,5634,73
金,3,47.60540838852097,-190.0,5436,73
金,4,50.2104275286757,-194.0,4795,73
金,5,35.29340560072267,-200.0,5535,73
金,6,40.712493373387524,-190.0,5659,73
金,7,8.336002785515321,-200.0,5744,73
金,8,35.26275555555556,-200.0,5625,73
金,9,22.806697413274513,-200.0,4987,73
土,0,37.87799524419243,-192.0,5467,73
土,1,44.794465009695045,-200.0,5673,73
土,2,55.50186534020252,-200.0,5629,73
土,3,77.56745812626542,-171.0,5433,73
土,4,73.77014613778705,-142.0,4790,73
土,5,61.53056057866184,-200.0,5530,73
土,6,58.62687886825818,-179.0,5655,73
土,7,35.633037114479876,-200.0,5739,73
土,8,55.3272824345969,-193.0,5619,73
土,9,61.97189319413772,-190.0,4981,73
日,0,29.661509785647716,-213.0,5365,72
日,1,11.111570247933884,-218.0,5566,72
日,2,41.95056139080044,-200.0,5522,72
日,3,43.3800225309801,-192.0,5326,72
日,4,29.411226876461832,-230.0,4703,72
日,5,21.427544247787612,-208.5,5424,72
日,6,20.401333573616867,-204.0,5549,72
日,7,25.723238061423753,-200.0,5633,72
日,8,29.055303717135086,-205.0,5515,72
日,9,30.58932951757972,-238.0,4892,72
