step,added_lag,chosen_lags,n_features,n_rows_used,folds_used,auc_mean,auc_std,recall_at_2_mean,recall_at_2_std,hit_at_2_any_mean,hit_at_2_any_std
1,6,6,1,5974,5,0.5158870560657582,0.016929935404815525,0.31445783132530125,0.02451444572213952,0.3975903614457831,0.04032096513417231
2,21,"6,21",2,5795,5,0.5113673452025893,0.010807183752638281,0.32962962962962966,0.026650658203608523,0.40740740740740733,0.039040464940350364
3,1,"6,21,1",3,5795,5,0.513789227822103,0.015629261103778463,0.34074074074074073,0.03586626925020728,0.419753086419753,0.05179302953926674
4,2,"6,21,1,2",4,5795,5,0.5124715168355178,0.017878454820875442,0.34567901234567905,0.044341444434735734,0.43209876543209874,0.05894980931512751
5,11,"6,21,1,2,11",5,5795,5,0.5109334147952439,0.01583924756840718,0.35185185185185186,0.04797372648821097,0.4345679012345679,0.05432098765432098
6,8,"6,21,1,2,11,8",6,5795,5,0.5128766719691973,0.011407499279286136,0.35432098765432096,0.03954473426678263,0.4296296296296296,0.04305085376336467
7,15,"6,21,1,2,11,8,15",7,5795,5,0.5116820344703039,0.017747165678329287,0.34444444444444444,0.04371834866574265,0.41975308641975306,0.039040464940350364
