last_digit,mean_diff,n_rows,pct_rows,rank
0,33.58486649874055,49625,9.939412147614041,10
1,54.023087157768494,53363,10.688097741725503,2
2,38.99533300923675,51425,10.299934905613139,8
3,51.6814349705612,51123,10.239447198437734,3
4,55.12195604830727,45459,9.105002253267237,1
5,42.77130639637321,50513,10.117270041560262,5
6,39.43497062188524,51569,10.328776726253066,6
7,39.20526274417325,50886,10.191978368634521,7
8,46.03730755601055,50794,10.173551649892344,4
9,37.75928837773485,44518,8.916528967002153,9
