lag,n_samples,positive_rate,mi_score,spearman_abs,auc_raw_best_sign,cv_auc_logreg
8,5951,0.15980507477734834,0.0,0.016219180003475536,0.5127777076761304,0.5167205397669867
27,5723,0.1595317141359427,0.0,0.01788648400305966,0.5141010080769116,0.5160548642251287
6,5974,0.15969199866086375,0.0,0.024051739464038307,0.5189537447693503,0.5158870560657582
1,6034,0.15976135233675837,0.0,0.008753640390688457,0.5068970103202468,0.5098038470453721
11,5915,0.15976331360946747,0.0,0.010012751619422208,0.5078890272854055,0.5094232532544014
4,5998,0.1597199066355452,0.0,0.012764405755573425,0.5100581568744408,0.5083195716846677
15,5867,0.1597068348389296,0.0,0.01166849057231294,0.5091948971838395,0.5082968380214643
14,5879,0.15972104099336623,0.0,0.011600103991023807,0.5091406785580319,0.5081294023808102
21,5795,0.15962036238136323,0.0,0.009904605217374454,0.5078066485376547,0.5067347531618225
5,5986,0.15970598062145006,0.0,0.014355552923885554,0.5113123559895855,0.5065595751754957
12,5903,0.15974928002710487,0.0,0.003092242949614988,0.5024364587965655,0.5024381731364798
9,5939,0.15979121064152213,0.0,0.005437120308534648,0.5042835935305807,0.5017249844924903
13,5891,0.1597351892717705,0.0,0.009192422382538964,0.5072432078489464,0.5016582120488307
3,6010,0.15973377703826955,0.0,0.0017418776780593482,0.5013725247524752,0.5005788005456286
7,5963,0.15981888311252726,0.0,0.0014932285182341527,0.5011763461534434,0.49621049229310554
28,5711,0.15951672211521625,0.0,0.007773511716062584,0.5061285675082328,0.4949117664428465
2,6022,0.1597475921620724,0.0,0.004698442605220201,0.5037020412020412,0.4925086014117472
10,5927,0.15977729036612115,0.0,0.0005250773883141779,0.5004136927859272,0.4921371373957159
