weekday_group,last_digit,mean_diff,median_diff,n_rows,n_days
土曜,0,8.69313739343413,-381.0,21231,73
土曜,1,4.551657010428737,-381.0,21575,73
土曜,2,44.33254068168042,-341.0,21447,73
土曜,3,12.093588660471228,-357.0,21306,73
土曜,4,57.216372701442126,-333.0,18653,73
土曜,5,5.0748963046757165,-376.0,21216,73
土曜,6,82.06812977099237,-323.0,20960,73
土曜,7,30.891116389548692,-370.0,21050,73
土曜,8,18.06178489702517,-343.0,20976,73
土曜,9,32.43187855787476,-333.0,18445,73
水曜,0,12.76025459688826,-200.0,21210,73
水曜,1,23.974022359326437,-200.0,21557,73
水曜,2,24.620625291647222,-200.0,21430,73
水曜,3,16.415594175669327,-200.0,21290,73
水曜,4,39.098851561661476,-200.0,18634,73
水曜,5,44.2475938856388,-200.0,21196,73
水曜,6,27.711993122223813,-206.0,20937,73
水曜,7,31.698449686132776,-200.0,21028,73
水曜,8,45.2200744558992,-200.0,20952,73
水曜,9,35.65894165535956,-222.0,18425,73
その他,0,9.674828338237955,-243.0,105003,362
その他,1,27.973049711849317,-234.0,106715,362
その他,2,14.81437419281856,-238.0,106079,362
その他,3,20.03683426478542,-230.0,105391,362
その他,4,32.4262250679841,-238.0,92301,362
その他,5,14.326843539748795,-238.0,104934,362
その他,6,20.565529882784237,-238.0,103655,362
その他,7,22.173709235867634,-238.0,104105,362
その他,8,30.01780618540799,-233.0,103728,362
その他,9,32.75493612078978,-245.0,91266,362
