day7_flag,last_digit,mean_diff,median_diff,n_rows,n_days
False,0,7.3023030029352,-258.0,132870,458
False,1,22.25178103292504,-238.0,135034,458
False,2,16.060723225460396,-240.0,134232,458
False,3,14.149738675305004,-238.0,133359,458
False,4,31.54350990768809,-242.0,116778,458
False,5,16.145142340713964,-245.0,132780,458
False,6,28.523600045743912,-238.0,131165,458
False,7,16.655155922630797,-242.0,131732,458
False,8,25.06267808438343,-238.0,131258,458
False,9,29.1332034294622,-256.0,115470,458
True,0,34.36517085220255,-238.0,14574,50
True,1,40.194896374805914,-230.0,14813,50
True,2,60.72066014669927,-219.5,14724,50
True,3,56.86771944216571,-228.5,14628,50
True,4,86.27712724434036,-238.0,12810,50
True,5,27.81559796787038,-238.0,14566,50
True,6,48.01390143879892,-233.0,14387,50
True,7,99.03743685558094,-205.0,14451,50
True,8,79.89477705236838,-203.0,14398,50
True,9,69.52652771198484,-238.0,12666,50
