mode,weekday,last_digit,mean_diff,n_rows,n_days
normal,月,0,6.307228915662651,1660,72
normal,月,1,53.60282258064516,1984,72
normal,月,2,-16.887307911212293,1757,72
normal,月,3,80.7806925498426,1906,72
normal,月,4,-49.389497980380845,1733,72
normal,月,5,27.957101449275363,1725,72
normal,月,6,24.902050113895218,1756,72
normal,月,7,23.6176844783715,1572,72
normal,月,8,-15.100238663484486,1676,72
normal,月,9,-23.624118476727787,1418,72
normal,火,0,31.49334945586457,1654,72
normal,火,1,115.54669358909642,1981,72
normal,火,2,63.54836863194047,1747,72
normal,火,3,60.739610731194105,1901,72
normal,火,4,80.67455279861512,1733,72
normal,火,5,11.649592549476136,1718,72
normal,火,6,84.32114285714286,1750,72
normal,火,7,99.39246968730058,1567,72
normal,火,8,69.5933014354067,1672,72
normal,火,9,33.10749646393211,1414,72
normal,水,0,24.566985645933013,1672,73
normal,水,1,54.612163509471586,2006,73
normal,水,2,0.07957110609480812,1772,73
normal,水,3,58.29491173416407,1926,73
normal,水,4,93.26357918810749,1749,73
normal,水,5,48.13686026451984,1739,73
normal,水,6,28.725113122171944,1768,73
normal,水,7,60.56340694006309,1585,73
normal,水,8,37.388757396449705,1690,73
normal,水,9,73.89964912280702,1425,73
normal,木,0,47.61959134615385,1664,73
normal,木,1,63.474474474474476,1998,73
normal,木,2,76.4718590108016,1759,73
normal,木,3,78.91845269210664,1913,73
normal,木,4,48.28414985590778,1735,73
normal,木,5,-0.5336426914153132,1724,73
normal,木,6,56.788692175899484,1751,73
normal,木,7,45.75079465988557,1573,73
normal,木,8,87.38700059630293,1677,73
normal,木,9,-4.796033994334278,1412,73
normal,金,0,26.117997616209774,1678,73
normal,金,1,94.72011952191235,2008,73
normal,金,2,45.00845546786922,1774,73
normal,金,3,5.8,1930,73
normal,金,4,69.87065527065528,1755,73
normal,金,5,67.50028686173265,1743,73
normal,金,6,57.884049773755656,1768,73
normal,金,7,8.925598991172762,1586,73
normal,金,8,25.64302600472813,1692,73
normal,金,9,34.41420534458509,1422,73
normal,土,0,43.53309481216458,1677,73
normal,土,1,42.49078226208271,2007,73
normal,土,2,67.53103837471784,1772,73
normal,土,3,4.5636363636363635,1925,73
normal,土,4,53.94288977727013,1751,73
normal,土,5,36.64195402298851,1740,73
normal,土,6,92.31653454133635,1766,73
normal,土,7,75.22770398481974,1581,73
normal,土,8,16.991725768321512,1692,73
normal,土,9,27.41942294159043,1421,73
normal,日,0,66.43048780487806,1640,72
normal,日,1,81.60223804679552,1966,72
normal,日,2,89.81603229527104,1734,72
normal,日,3,58.35063559322034,1888,72
normal,日,4,57.09260337798486,1717,72
normal,日,5,50.13556338028169,1704,72
normal,日,6,91.32813402657423,1731,72
normal,日,7,45.912144702842376,1548,72
normal,日,8,46.92219541616405,1658,72
normal,日,9,104.95337159253945,1394,72
