condition,last_digit,mean_diff,n_days
土曜,5,5.0748963046757165,73
土曜,6,82.06812977099237,73
土曜,7,30.891116389548692,73
土曜,8,18.06178489702517,73
土曜,9,32.43187855787476,73
水曜,5,44.2475938856388,73
水曜,6,27.711993122223813,73
水曜,7,31.698449686132776,73
水曜,8,45.2200744558992,73
水曜,9,35.65894165535956,73
7含む日,5,45.273792093704245,38
7含む日,6,40.552209765588806,38
7含む日,7,106.97526762643042,38
7含む日,8,78.92524316813339,38
7含む日,9,70.21030993042378,38
その他,5,10.729325787715677,324
その他,6,18.242553466434064,324
その他,7,12.321457290203604,324
その他,8,24.336769500607964,324
その他,9,28.410332599657618,324
