mode,weekday,top1_digit,top1_mean,top2_digit,top2_mean,best_cluster,best_cluster_mean,all_bt_mean,concentration_delta,n_days
normal,月,3,80.781,1,53.603,1-2-3,39.165,11.217,27.949,72
normal,火,1,115.547,7,99.392,6-7-8,84.436,65.007,19.429,72
normal,水,4,93.264,9,73.9,3-4-5,66.565,47.953,18.612,73
normal,木,8,87.387,3,78.918,1-2-3,72.955,49.937,23.018,73
normal,金,1,94.72,4,69.871,4-5-6,65.085,43.588,21.497,73
normal,土,6,92.317,7,75.228,5-6-7,68.062,46.066,21.996,73
normal,日,9,104.953,6,91.328,9-0-1,84.329,69.254,15.074,72
