date,weekday,best_row_group,best_row_mean,all_rows_mean,row_concentration_ratio,gini_above_mean,n_row_groups
2025-01-01,水,92,4131.0,147.9320032010409,27.924991959893454,0.37009397457158655,134
2025-01-02,木,92,3109.0,-94.8581198912591,-32.775264822495025,0.30556485576838366,134
2025-01-03,金,163,3233.3333333333335,-55.61715571654491,-58.13553914572957,0.3059884401521804,134
2025-01-04,土,92,6544.0,112.44272181994485,58.19852004720184,0.3624184230761649,134
2025-01-05,日,54,2664.4,-165.86918427311107,-16.063261007017108,0.2970384298977553,134
2025-01-06,月,62,1465.95,-15.434437145075425,-94.9791680915123,0.34872051598481857,134
2025-01-07,火,50,1927.888888888889,97.49743250334375,19.773740081030038,0.3546542435750244,134
2025-01-08,水,238,1645.1,-13.265635438686317,-124.01215212069121,0.3181940973863715,134
2025-01-09,木,64,1353.55,-51.60877056183318,-26.227131265959784,0.3184135502263963,134
2025-01-10,金,209,2505.6363636363635,-97.56211187466197,-25.682473610814764,0.32200436496761475,134
2025-01-11,土,163,3966.6666666666665,124.63058277140074,31.827394034916658,0.3450395083406499,134
2025-01-12,日,163,4700.0,-34.88609945250261,-134.72414726097554,0.3227395839336138,134
2025-01-13,月,208,2337.0714285714284,-73.606615194398,-31.75083411184076,0.34218040233614544,134
2025-01-14,火,92,2414.0,57.04114475556737,42.320328779242935,0.37577712063706437,134
2025-01-15,水,92,3458.0,-38.11033776187157,-90.73653509992351,0.3208789937356409,134
2025-01-16,木,92,3762.0,-37.411563588828955,-100.55714434569445,0.3069109000452286,134
2025-01-17,金,90,1467.6666666666667,33.769591528856076,43.461190977467034,0.361451212274416,134
2025-01-18,土,78,1744.2,-39.840215340869285,-43.779883845425594,0.352764240024368,134
2025-01-19,日,57,1847.0,-146.30511530278227,-12.624302275266214,0.30497626677176704,134
2025-01-20,月,85,2246.0,24.721249273223943,90.85301374444234,0.3773739277036745,134
2025-01-21,火,102,1562.3,-33.322817170064866,-46.88379112806442,0.3178728781720688,134
2025-01-22,水,209,2668.0,-65.58414293232734,-40.68056515967529,0.28970078517365794,134
2025-01-23,木,310,1857.3333333333333,-33.86894361181283,-54.838832725964664,0.32608920714347356,134
2025-01-24,金,101,1547.9,-34.62665901132125,-44.70255127686189,0.2999226482428845,134
2025-01-25,土,92,4803.0,232.87470436498128,20.624824894988702,0.3123083214066653,134
2025-01-26,日,90,1328.5555555555557,-123.04484747239762,-10.79732782677948,0.2730701332049432,134
2025-01-27,月,51,2816.4,54.02326839020278,52.133091608925305,0.35894952717329387,134
2025-01-28,火,88,2675.3333333333335,-54.98858465452237,-48.652522157856794,0.307650489275477,134
2025-01-29,水,35,1311.9,-82.72748547232636,-15.858091086774916,0.3455291416222057,134
2025-01-30,木,91,2375.7,66.36321426217144,35.798446871706204,0.3461441026831895,134
2025-01-31,金,209,1651.090909090909,10.622507632020588,155.43325232488843,0.36243290376644866,134
2025-02-01,土,103,3762.3,-9.247150346925476,-406.8604768874448,0.3651271942175913,134
2025-02-02,日,208,2194.3928571428573,-37.285647384931615,-58.85355387525564,0.3559105612621305,134
2025-02-03,月,50,1349.3333333333333,-0.49385974500477153,-2732.219718212296,0.341886234917508,131
2025-02-04,火,92,8018.0,86.57694373281862,92.61126177823976,0.36729587357331006,134
2025-02-05,水,86,1426.0,-49.00074109293871,-29.10160067365787,0.3627662316361677,134
2025-02-06,木,54,1720.842105263158,-55.33448323581463,-31.098909841257214,0.31055324592260947,118
2025-02-07,金,105,2162.3,122.95346857755153,17.58632777924564,0.37553536664503584,134
2025-02-08,土,90,1986.888888888889,38.94815505106744,51.013684378213824,0.319538670284939,134
2025-02-09,日,163,3033.3333333333335,-57.668310061349146,-52.59965707520109,0.2877787532923619,134
2025-02-10,月,209,3188.818181818182,171.0228180177159,18.64557150197267,0.34104578869559954,134
2025-02-11,火,101,2224.2,207.02882954317647,10.743431264659382,0.37948869513817063,134
2025-02-12,水,92,5908.0,-30.684715642871538,-192.53885448250864,0.2923405480635408,134
2025-02-13,木,232,2014.1666666666667,103.36777190242334,19.485441444631224,0.37765121759622944,134
2025-02-14,金,92,3388.0,-38.55602382146965,-87.87213162041404,0.3195067264573992,134
2025-02-15,土,233,1709.2777777777778,28.49230873435714,59.99084853789555,0.2789081992600877,118
2025-02-16,日,310,2746.0,-71.20245087035246,-38.56608819547516,0.3285662596110359,134
2025-02-17,月,92,2255.0,36.75163538586759,61.35781377682948,0.35815676860452994,134
2025-02-18,火,105,1167.0,-118.86877512554653,-9.817548795025782,0.2920875969497492,134
2025-02-19,水,50,1695.7777777777778,6.878809226145269,246.52199559952817,0.30882328688051475,134
2025-02-20,木,32,2568.3,-87.18872807987596,-29.456789387351893,0.3079902500918228,134
2025-02-21,金,87,1451.3,-15.03335983842462,-96.53863245463863,0.30954673636426167,134
2025-02-22,土,54,1651.842105263158,-32.90817024230023,-50.19550139375044,0.3286030358535392,134
2025-02-23,日,250,2082.8,-49.49337440381036,-42.082400424078806,0.29532512003573164,134
2025-02-24,月,91,3881.3,-39.57499296690478,-98.07455943822401,0.3045983318700616,134
2025-02-25,火,201,1799.9285714285713,-6.180744717772405,-291.2154851264075,0.3635968141356001,134
2025-02-26,水,234,1200.0,-66.2064873312949,-18.125112030113346,0.3000611278080587,134
2025-02-27,木,92,5827.0,133.49808638762386,43.64856574109066,0.3433570543904949,134
2025-02-28,金,87,2391.3,132.43084114148922,18.056972072276828,0.3420278906425467,134
2025-03-01,土,104,3005.0,-68.91719729624481,-43.603050006268,0.3158060964825209,134
2025-03-02,日,104,1500.5,-144.31657274612002,-10.39728127856571,0.27822013654768174,134
2025-03-03,月,61,2147.95,90.45976832236458,23.7448098733297,0.3710781755557875,134
2025-03-04,火,63,1790.65,6.397772112128929,279.8864930817521,0.40023926170673363,134
2025-03-05,水,104,1133.7,-17.28376780067273,-65.59333665405256,0.3140493186242701,134
2025-03-06,木,37,1485.25,-6.798612673003858,-218.46368831948269,0.39233977172958734,134
2025-03-07,金,310,2428.6666666666665,-32.45004127157213,-74.84325355217038,0.29208767160759774,134
2025-03-08,土,102,4390.9,-21.421899782159016,-204.97248351693392,0.34540909005786635,134
2025-03-09,日,57,3377.1,-3.2890974288214903,-1026.7558420153098,0.36917900916871593,134
2025-03-10,月,209,2826.909090909091,26.341576662405444,107.31738373670093,0.3369975846906548,134
2025-03-11,火,210,2141.1428571428573,78.76974904023706,27.182298829581413,0.3733578895820471,134
2025-03-12,水,57,1275.1,-46.23559445246209,-27.57831958473067,0.3020441632017494,134
2025-03-13,木,92,2982.0,28.31175103100178,105.32728960263414,0.3564138460496309,134
2025-03-14,金,53,2163.6,21.551092497774537,100.39398235720175,0.35937365197135707,134
2025-03-15,土,37,2674.25,89.014007793725,30.043024309130367,0.3319387908940148,134
2025-03-16,日,87,1795.6,-66.35583953272878,-27.060165505318544,0.30341617156933776,134
2025-03-17,月,103,2690.8,44.329350017290935,60.70019070774639,0.369231619679381,134
2025-03-18,火,60,1762.842105263158,-8.518486560681174,-206.9431104581321,0.38576087695060357,134
2025-03-19,水,37,1975.75,-17.61737544215845,-112.14780581175685,0.31034308097521457,134
2025-03-20,木,310,1762.3333333333333,-11.392560759564192,-154.69158958435514,0.285553844632489,142
2025-03-21,金,209,2409.5454545454545,4.090538313889622,589.053388490147,0.2734843257431234,142
2025-03-22,土,30,2751.6666666666665,133.90798851362135,20.54893585670404,0.3062283247222026,142
2025-03-23,日,310,1476.3333333333333,-178.9981322818337,-8.247758311851193,0.319690557135919,142
2025-03-24,月,52,1349.6,34.22708143647268,39.43076486100431,0.342704671283919,134
2025-03-25,火,103,1714.6,-8.464462645142396,-202.5645421193959,0.27996057904423766,142
2025-03-26,水,103,1938.5,-43.68295219633854,-44.376579478583935,0.31210609963281644,142
2025-03-27,木,59,1596.45,5.51701569827584,289.36839902393564,0.2897589619348746,142
2025-03-28,金,102,2029.0,-66.53197004224238,-30.496616870231716,0.30753280906263436,142
2025-03-29,土,32,2171.95,-26.945856221208654,-80.60423028200131,0.3107349862572808,142
2025-03-30,日,312,2295.6,-31.911430176065576,-71.9366066432761,0.3430004056114242,142
2025-03-31,月,163,2866.6666666666665,75.85567221016693,37.79106536323658,0.3558724523119694,142
