weekday,top1_digit,top1_mean,top2_digit,top2_mean,best_cluster,best_cluster_mean,top1_position,direction,left_neighbor_mean,right_neighbor_mean
月,4,49.219986950848195,1,31.25876492151518,2-3-4,29.265501445024356,right,leftward,13.300475963826749,10.952289893871306
火,9,70.5653438717822,8,64.47083575159606,7-8-9,59.37260474779885,right,leftward,64.47083575159606,33.08337314859054
水,8,45.2200744558992,5,44.2475938856388,7-8-9,37.52582193246385,center,centered,31.698449686132776,35.65894165535956
木,1,64.03177788147457,9,40.688302464076926,9-0-1,45.26296567996132,right,leftward,31.068816694332465,36.79261136929071
金,9,58.25700048746141,4,41.95046323568789,7-8-9,30.716388900624015,right,leftward,11.987661966463415,15.609769871523365
土,6,82.06812977099237,4,57.216372701442126,4-5-6,48.11979959237007,right,leftward,5.0748963046757165,30.891116389548692
日,8,13.245840225746813,3,3.311670896987692,6-7-8,-0.6481150547731339,right,leftward,-9.834391816551122,-15.169162752141476
