series_name,n_obs,adf_stat,p_value,used_lag,critical_1pct,critical_5pct,critical_10pct,is_stationary_5pct
avg_diff,502,-5.864461580141424,3.350788126484637e-07,5,-3.4434437319767452,-2.8673146875484368,-2.569845688481135,1
lag1_avg_diff,501,-5.85210811113651,3.569323345481128e-07,5,-3.443470002903981,-2.867326248740681,-2.569851849873108,1
lag7_avg_diff,495,-5.825968545667236,4.0787138654010146e-07,5,-3.4436298692815304,-2.867396599893435,-2.5698893429241916,1
roll7_avg_diff,492,-3.2626100852436637,0.016634804679335452,14,-3.4437112724287253,-2.8674324209387345,-2.569908433637385,1
roll14_avg_diff,487,-2.5129233727612013,0.11236150912682213,19,-3.443849184997939,-2.8674931065091105,-2.569940776113236,0
roll28_avg_diff,500,-2.3007937373816163,0.1717121032086965,6,-3.443496379464,-2.8673378563200003,-2.569858036,0
