feature,mi_score,rank
day_of_month,0.03954070601674538,1
lag14_avg_diff,0.018630757373504947,2
roll28_avg_diff,0.012807567484861337,3
day_last_digit,0.010842477087022438,4
lag7_avg_diff,0.009834642459559229,5
lag1_avg_diff,0.009400201387643525,6
weekday,0.005302543285567493,7
roll7_avg_diff,0.0,8
roll14_avg_diff,0.0,9
