analysis_type,chi2,p_value,cramers_v,dof,is_significant
weekday_vs_top2,0.388536417733195,0.9989429698190545,0.008745487224727564,6,0
day_last_digit_vs_top2,1.0337026538402403,0.9993558279450774,0.014264808949929896,9,0
