date,weekday,avg_diff,is_anomaly,anomaly_direction,zscore,rolling_median,iqd_bound_upper,iqd_bound_lower
2025-01-01,水,162.6222879684418,0,,,,,
2025-01-02,木,-133.6992110453649,0,,,,,
2025-01-03,金,-68.04437869822485,0,,,,,
2025-01-04,土,23.282544378698226,0,,,,,
2025-01-05,日,-139.95710059171597,0,,,,,
2025-01-06,月,4.4733727810650885,0,,,,,
2025-01-07,火,82.14644970414201,0,,,,,
2025-01-08,水,-7.390532544378698,0,,,,,
2025-01-09,木,-26.1129191321499,0,,,,,
2025-01-10,金,-73.00986193293886,0,,,,,
2025-01-11,土,141.2352071005917,0,,,,,
2025-01-12,日,-78.69871794871794,0,,,,,
2025-01-13,月,-30.877712031558186,0,,,,,
2025-01-14,火,29.881163708086785,0,,0.6290776799802761,-16.7517258382643,183.2482741617357,-216.7517258382643
2025-01-15,水,-66.53698224852072,0,,-0.5615553197215354,-26.1129191321499,168.10502958579883,-220.33086785009863
2025-01-16,木,-62.982741617357,0,,-0.4937863576415419,-28.495315581854044,159.94058185404342,-216.9312130177515
2025-01-17,金,55.30029585798817,0,,1.1215299330792123,-26.1129191321499,169.73816568047337,-221.96400394477317
2025-01-18,土,10.305719921104536,0,,0.3806137675095413,-16.7517258382643,175.04635108481264,-208.54980276134123
2025-01-19,日,-175.2810650887574,0,,-2.072185709135409,-26.1129191321499,168.10502958579883,-220.33086785009863
2025-01-20,月,25.375739644970412,0,,0.5932897941008789,-16.7517258382643,174.82396449704143,-208.32741617357001
2025-01-21,火,-31.43688362919132,0,,-0.07687881618951103,-26.1129191321499,160.7273175542406,-212.9531558185404
2025-01-22,水,-65.04930966469428,0,,-0.5329804775875989,-28.495315581854044,156.54462524654832,-213.5352564102564
2025-01-23,木,-31.964990138067062,0,,-0.01600896100750787,-30.877712031558186,152.36193293885603,-214.1173570019724
2025-01-24,金,-48.79733727810651,0,,-0.2623070831261092,-31.157297830374752,150.2820512820513,-212.5966469428008
2025-01-25,土,187.54684418145956,1,high,3.2058100365345306,-30.877712031558186,152.94773175542406,-214.70315581854044
2025-01-26,日,-143.72633136094674,0,,-1.6413280889834008,-31.157297830374752,153.88264299802762,-216.1972386587771
2025-01-27,月,62.99605522682446,0,,1.3341431718061671,-30.877712031558186,158.96055226824458,-220.71597633136096
2025-01-28,火,-86.60848126232742,0,,-0.7809304648077103,-31.157297830374752,160.41839250493098,-222.73298816568047
2025-01-29,水,-87.73767258382642,0,,-0.7719601555686978,-31.43688362919132,165.3343195266272,-228.20808678500987
2025-01-30,木,53.23224852071006,0,,1.132488680413762,-31.157297830374752,169.88929980276134,-232.20389546351083
2025-01-31,金,27.526134122287967,0,,0.801603211515921,-31.157297830374752,166.3567554240631,-228.67135108481258
2025-02-01,土,18.09861932938856,0,,0.6640379370970891,-28.495315581854044,160.81681459566076,-217.80744575936885
2025-02-02,日,0.5877712031558185,0,,0.2511012092708115,-16.7517258382643,169.55547337278108,-203.05892504930966
2025-02-03,月,-20.262013729977117,0,,0.042364822298628334,-23.18746643106351,163.11973277998186,-209.49466564210888
