last_digit,mean_diff,n_rows,n_days
0,199.7110049321825,6488,22
1,206.08247422680412,6596,22
2,261.62591575091574,6552,22
3,270.0575329855784,6518,22
4,224.28466643381068,5726,22
5,241.78496611213802,6492,22
6,194.44195106747702,6417,22
7,256.50302748020493,6441,22
8,294.93952618453864,6416,22
9,257.329916946457,5659,22
