group_key,weekday,top1_digit,top1_mean,top2_digit,top2_mean,best_cluster,best_cluster_mean,all_group_mean,concentration_delta,n_days
2F_A,月,3,57.673,4,51.067,3-4-5,46.358,18.385,27.973,72
2F_A,火,4,118.713,8,93.92,7-8-9,89.221,67.341,21.88,72
2F_A,水,4,95.09,1,73.133,3-4-5,77.25,51.25,26.0,73
2F_A,木,8,86.139,9,80.355,8-9-0,81.476,41.342,40.135,73
2F_A,金,9,70.429,5,56.362,4-5-6,55.456,44.309,11.147,73
2F_A,土,4,121.95,9,97.534,4-5-6,85.323,65.383,19.94,73
2F_A,日,4,100.085,9,94.258,8-9-0,71.373,53.074,18.3,72
2F_N,月,4,105.514,7,84.708,2-3-4,85.273,51.044,34.23,72
2F_N,火,9,163.88,4,106.837,8-9-0,104.573,79.05,25.523,72
2F_N,水,9,145.25,8,92.206,8-9-0,94.308,76.944,17.365,73
2F_N,木,2,111.679,6,91.757,2-3-4,91.39,75.955,15.435,73
2F_N,金,4,139.825,9,136.649,7-8-9,86.731,65.409,21.322,73
2F_N,土,6,222.165,4,196.196,4-5-6,144.442,110.497,33.944,73
2F_N,日,8,94.041,5,64.371,6-7-8,56.172,17.107,39.064,72
3F_A,月,3,232.341,1,209.179,9-0-1,192.836,169.041,23.796,72
3F_A,火,3,217.867,0,207.831,3-4-5,195.989,185.694,10.295,72
3F_A,水,1,246.628,3,228.9,1-2-3,206.231,178.254,27.978,73
3F_A,木,2,274.277,1,246.971,0-1-2,251.153,191.151,60.002,72
3F_A,金,4,200.585,1,172.872,4-5-6,165.158,140.163,24.995,73
3F_A,土,2,261.517,6,232.361,2-3-4,207.392,180.147,27.245,73
3F_A,日,3,304.81,6,291.114,3-4-5,253.916,234.675,19.241,72
3F_N,月,8,147.958,4,60.978,4-5-6,29.061,-3.579,32.64,72
3F_N,火,9,81.595,6,67.925,8-9-0,50.645,26.725,23.92,72
3F_N,水,8,116.783,4,72.223,8-9-0,48.348,2.268,46.08,73
3F_N,木,7,67.254,0,45.755,7-8-9,23.711,3.045,20.666,73
3F_N,金,5,79.505,9,79.139,5-6-7,28.436,-3.453,31.889,73
3F_N,土,5,86.857,8,17.119,4-5-6,17.968,-31.017,48.984,73
3F_N,日,0,59.635,9,24.149,9-0-1,30.519,-36.911,67.43,72
