last_digit,mean_diff,n_rows,pct_rows,rank
0,35.0924860455131,11645,9.661495063469676,8
1,72.2241577060932,13950,11.573882021073592,1
2,46.38684531059683,12315,10.217373268066043,6
3,49.50526551646875,13389,11.108437733344395,5
4,50.62129302554835,12173,10.099560275450095,4
5,34.55478375919954,12093,10.033186758483364,10
6,62.243449959316514,12290,10.196631544013938,2
7,51.30739193606974,11012,9.136314610470423,3
8,38.3364803946585,11757,9.754417987223098,7
9,34.933878457500505,9906,8.218700738405376,9
