weekday,all_digits_mean,best_cluster,best_cluster_mean,concentration_ratio,concentration_delta,top1_digit,top2_digit,top1_top2_distance,direction
月,19.16,2-3-4,29.27,1.5274,10.11,4,1,3,leftward
火,43.33,7-8-9,59.37,1.3702,16.04,9,8,1,leftward
水,30.14,7-8-9,37.53,1.245,7.39,8,5,3,centered
木,31.71,9-0-1,45.26,1.4274,13.55,1,9,2,leftward
金,25.98,7-8-9,30.72,1.1825,4.74,9,4,5,leftward
土,29.54,4-5-6,48.12,1.6289,18.58,6,4,2,leftward
日,-8.1,6-7-8,-0.65,0.08,7.45,8,3,5,leftward
