weekday,mean_row_concentration_ratio,mean_gini_above_mean,pct_high_concentration,pct_low_gini,n_days
月,-92.7729,0.3496,59.7,6.9,72
火,34.7868,0.3442,66.7,6.9,72
水,126.208,0.3404,61.6,6.8,73
木,51.5873,0.3464,63.0,5.5,73
金,37.5441,0.3407,54.8,11.0,73
土,91.5228,0.3387,58.9,4.1,73
日,-4.1419,0.3363,40.3,15.3,72
