section,last_digit,machine_type,mean_diff,median_diff,std_diff,n_rows,n_days
all_digits,0,,9.977313420688533,-256.0,2244.118899049823,147444,508
all_digits,1,,24.025532710030898,-238.0,2205.9704545888744,149847,508
all_digits,2,,20.475267864335777,-238.0,2195.785739381626,148956,508
all_digits,3,,18.372262428456555,-238.0,2192.110486422942,147987,508
all_digits,4,,36.95402352069636,-241.0,2256.3188805970394,129588,508
all_digits,5,,17.298834036892757,-244.0,2208.591368844905,147346,508
all_digits,6,,30.450107178190613,-238.0,2239.5898331915164,145552,508
all_digits,7,,24.799101126669996,-238.0,2228.659126584965,146183,508
all_digits,8,,30.48279507881584,-238.0,2207.733886777416,145656,508
all_digits,9,,33.126006742835735,-254.0,2261.532753107518,128136,508
digit3_by_machine_type,3,AT系,0.792306739345887,-300.0,2569.3704578996517,96864,508
digit3_by_machine_type,3,A型,52.45359622621508,-196.0,1159.565829638626,37734,508
digit3_by_machine_type,3,BT,49.50526551646875,-137.0,1247.7941441753658,13389,508
